X,Y,Paths,Numbering
429.6100159,1068.01294,1,207
429.6100159,1069.01294,1,208
429.6100159,1070.01294,1,209
429.6100159,1096.01294,1,210
429.6100159,1112.01294,1,211
429.6100159,1116.01294,1,212
430.6100159,773.0129395,1,213
430.6100159,774.0129395,1,214
430.6100159,775.0129395,1,215
430.6100159,776.0129395,1,216
430.6100159,793.0129395,1,217
430.6100159,803.0129395,1,218
430.6100159,806.0129395,1,219
430.6100159,1061.01294,1,220
430.6100159,1069.01294,1,221
430.6100159,1071.01294,1,222
430.6100159,1096.01294,1,223
430.6100159,1112.01294,1,224
430.6100159,1113.01294,1,225
430.6100159,1114.01294,1,226
430.6100159,1115.01294,1,227
431.6100159,769.0129395,1,228
431.6100159,771.0129395,1,229
431.6100159,772.0129395,1,230
431.6100159,793.0129395,1,231
431.6100159,794.0129395,1,232
431.6100159,795.0129395,1,233
431.6100159,796.0129395,1,234
431.6100159,797.0129395,1,235
431.6100159,798.0129395,1,236
431.6100159,799.0129395,1,237
431.6100159,800.0129395,1,238
431.6100159,803.0129395,1,239
431.6100159,805.0129395,1,240
431.6100159,1058.01294,1,241
431.6100159,1059.01294,1,242
431.6100159,1060.01294,1,243
431.6100159,1072.01294,1,244
431.6100159,1096.01294,1,245
431.6100159,1112.01294,1,246
432.6100159,770.0129395,1,247
432.6100159,793.0129395,1,248
432.6100159,801.0129395,1,249
432.6100159,802.0129395,1,250
432.6100159,803.0129395,1,251
432.6100159,804.0129395,1,252
432.6100159,805.0129395,1,253
432.6100159,1060.01294,1,254
432.6100159,1073.01294,1,255
432.6100159,1096.01294,1,256
432.6100159,1101.01294,1,257
432.6100159,1105.01294,1,258
432.6100159,1111.01294,1,259
433.6100159,615.0129395,1,260
433.6100159,793.0129395,1,261
433.6100159,805.0129395,1,262
433.6100159,806.0129395,1,263
433.6100159,809.0129395,1,264
433.6100159,810.0129395,1,265
433.6100159,811.0129395,1,266
433.6100159,812.0129395,1,267
433.6100159,813.0129395,1,268
433.6100159,814.0129395,1,269
433.6100159,1060.01294,1,270
433.6100159,1074.01294,1,271
433.6100159,1096.01294,1,272
433.6100159,1097.01294,1,273
433.6100159,1098.01294,1,274
433.6100159,1099.01294,1,275
433.6100159,1100.01294,1,276
433.6100159,1101.01294,1,277
433.6100159,1102.01294,1,278
433.6100159,1103.01294,1,279
433.6100159,1104.01294,1,280
433.6100159,1105.01294,1,281
433.6100159,1106.01294,1,282
433.6100159,1107.01294,1,283
433.6100159,1108.01294,1,284
433.6100159,1109.01294,1,285
433.6100159,1110.01294,1,286
434.6100159,615.0129395,1,287
434.6100159,793.0129395,1,288
434.6100159,806.0129395,1,289
434.6100159,807.0129395,1,290
434.6100159,808.0129395,1,291
434.6100159,809.0129395,1,292
434.6100159,815.0129395,1,293
434.6100159,1060.01294,1,294
434.6100159,1075.01294,1,295
434.6100159,1095.01294,1,296
434.6100159,1104.01294,1,297
434.6100159,1108.01294,1,298
435.6100159,615.0129395,1,299
435.6100159,793.0129395,1,300
435.6100159,804.0129395,1,301
435.6100159,805.0129395,1,302
435.6100159,806.0129395,1,303
435.6100159,816.0129395,1,304
435.6100159,1040.01294,1,305
435.6100159,1075.01294,1,306
435.6100159,1076.01294,1,307
435.6100159,1094.01294,1,308
435.6100159,1108.01294,1,309
436.6100159,615.0129395,1,310
436.6100159,639.0129395,1,311
436.6100159,640.0129395,1,312
436.6100159,817.0129395,1,313
436.6100159,1039.01294,1,314
436.6100159,1077.01294,1,315
436.6100159,1094.01294,1,316
436.6100159,1108.01294,1,317
437.6100159,498.0129089,1,318
437.6100159,616.0129395,1,319
437.6100159,617.0129395,1,320
437.6100159,639.0129395,1,321
437.6100159,818.0129395,1,322
437.6100159,1038.01294,1,323
437.6100159,1078.01294,1,324
437.6100159,1093.01294,1,325
437.6100159,1108.01294,1,326
438.6100159,497.0129089,1,327
438.6100159,616.0129395,1,328
438.6100159,617.0129395,1,329
438.6100159,637.0129395,1,330
438.6100159,638.0129395,1,331
438.6100159,819.0129395,1,332
438.6100159,1037.01294,1,333
438.6100159,1079.01294,1,334
438.6100159,1092.01294,1,335
438.6100159,1108.01294,1,336
439.6100159,488.0129089,1,337
439.6100159,497.0129089,1,338
439.6100159,498.0129089,1,339
439.6100159,499.0129089,1,340
439.6100159,617.0129395,1,341
439.6100159,636.0129395,1,342
439.6100159,637.0129395,1,343
439.6100159,638.0129395,1,344
439.6100159,697.0129395,1,345
439.6100159,820.0129395,1,346
439.6100159,996.0129395,1,347
439.6100159,997.0129395,1,348
439.6100159,998.0129395,1,349
439.6100159,999.0129395,1,350
439.6100159,1000.01294,1,351
439.6100159,1001.01294,1,352
439.6100159,1002.01294,1,353
439.6100159,1003.01294,1,354
439.6100159,1004.01294,1,355
439.6100159,1005.01294,1,356
439.6100159,1006.01294,1,357
439.6100159,1007.01294,1,358
439.6100159,1008.01294,1,359
439.6100159,1009.01294,1,360
439.6100159,1010.01294,1,361
439.6100159,1011.01294,1,362
439.6100159,1013.01294,1,363
439.6100159,1036.01294,1,364
439.6100159,1080.01294,1,365
439.6100159,1088.01294,1,366
439.6100159,1089.01294,1,367
439.6100159,1090.01294,1,368
439.6100159,1091.01294,1,369
439.6100159,1108.01294,1,370
